Game_ID,Event_Index,Game_Date,Game_Code,Period,Home_Team,Visitor_Team,Description,Home_Points_Before,Home_Points_After,Visitor_Points_Before,Visitor_Points_After,Point_Change,Score_Diff,Score_Diff_After,Video_Link,Thumbnail_Link,Event_Link
0022501142,143,2026-04-05,2026-04-05/HOUGSW,1,GSW,HOU,St. Curry 29' 3PT Jump Shot (3 PTS) (Melton 4 AST),28,31,24,24,3,4,7,https://videos.nba.com/nba/pbp/media/2026/04/05/0022501142/143/dd00cde7-6724-43ce-5f6c-9a5c0a778cdd_1280x720.mp4,https://videos.nba.com/nba/pbp/media/2026/04/05/0022501142/143/dd00cde7-6724-43ce-5f6c-9a5c0a778cdd_1280x720.jpg,https://www.nba.com/stats/events?GameEventID=143&GameID=0022501142&Season=2025-2026&flag=1&title=St.+Curry+29%27+3PT+Jump+Shot+%283+PTS%29+%28Melton+4+AST%29
0022501142,676,2026-04-05,2026-04-05/HOUGSW,4,GSW,HOU,St. Curry 32' 3PT Jump Shot (29 PTS) (Payton II 2 AST),111,114,115,115,3,4,1,https://videos.nba.com/nba/pbp/media/2026/04/05/0022501142/676/b5ba7e66-b49a-77e4-1e2c-f7be8b16e234_1280x720.mp4,https://videos.nba.com/nba/pbp/media/2026/04/05/0022501142/676/b5ba7e66-b49a-77e4-1e2c-f7be8b16e234_1280x720.jpg,https://www.nba.com/stats/events?GameEventID=676&GameID=0022501142&Season=2025-2026&flag=1&title=St.+Curry+32%27+3PT+Jump+Shot+%2829+PTS%29+%28Payton+II+2+AST%29
0022501142,648,2026-04-05,2026-04-05/HOUGSW,4,GSW,HOU,St. Curry 29' 3PT Jump Shot (24 PTS) (Green 9 AST),101,104,109,109,3,8,5,https://videos.nba.com/nba/pbp/media/2026/04/05/0022501142/648/9a53e635-dad4-560d-1ace-ce72ccdefc47_1280x720.mp4,https://videos.nba.com/nba/pbp/media/2026/04/05/0022501142/648/9a53e635-dad4-560d-1ace-ce72ccdefc47_1280x720.jpg,https://www.nba.com/stats/events?GameEventID=648&GameID=0022501142&Season=2025-2026&flag=1&title=St.+Curry+29%27+3PT+Jump+Shot+%2824+PTS%29+%28Green+9+AST%29
0022501142,487,2026-04-05,2026-04-05/HOUGSW,3,GSW,HOU,St. Curry 27' 3PT Step Back Jump Shot (19 PTS),77,80,84,84,3,7,4,https://videos.nba.com/nba/pbp/media/2026/04/05/0022501142/487/56b2fa4b-e991-72c6-663e-3b34f2e1bc69_1280x720.mp4,https://videos.nba.com/nba/pbp/media/2026/04/05/0022501142/487/56b2fa4b-e991-72c6-663e-3b34f2e1bc69_1280x720.jpg,https://www.nba.com/stats/events?GameEventID=487&GameID=0022501142&Season=2025-2026&flag=1&title=St.+Curry+27%27+3PT+Step+Back+Jump+Shot+%2819+PTS%29
0022501142,262,2026-04-05,2026-04-05/HOUGSW,2,GSW,HOU,St. Curry 28' 3PT Pullup Jump Shot (6 PTS),42,45,42,42,3,0,3,https://videos.nba.com/nba/pbp/media/2026/04/05/0022501142/262/9ed2e448-ad49-39ac-9dc6-bb860de97b38_1280x720.mp4,https://videos.nba.com/nba/pbp/media/2026/04/05/0022501142/262/9ed2e448-ad49-39ac-9dc6-bb860de97b38_1280x720.jpg,https://www.nba.com/stats/events?GameEventID=262&GameID=0022501142&Season=2025-2026&flag=1&title=St.+Curry+28%27+3PT+Pullup+Jump+Shot+%286+PTS%29
0022500696,38,2026-01-30,2026-01-30/DETGSW,1,GSW,DET,Curry 27' 3PT Jump Shot (3 PTS) (Horford 1 AST),8,11,7,7,3,1,4,https://videos.nba.com/nba/pbp/media/2026/01/30/0022500696/38/eeea5106-3ed1-3316-a945-5d4e9b0057c9_1280x720.mp4,https://videos.nba.com/nba/pbp/media/2026/01/30/0022500696/38/eeea5106-3ed1-3316-a945-5d4e9b0057c9_1280x720.jpg,https://www.nba.com/stats/events?GameEventID=38&GameID=0022500696&Season=2025-2026&flag=1&title=Curry+27%27+3PT+Jump+Shot+%283+PTS%29+%28Horford+1+AST%29
0022500696,66,2026-01-30,2026-01-30/DETGSW,1,GSW,DET,Curry 27' 3PT Running Jump Shot (8 PTS) (Podziemski 3 AST),14,17,17,17,3,3,0,https://videos.nba.com/nba/pbp/media/2026/01/30/0022500696/66/c41c0d04-1339-bbad-b0d6-8f557218df7e_1280x720.mp4,https://videos.nba.com/nba/pbp/media/2026/01/30/0022500696/66/c41c0d04-1339-bbad-b0d6-8f557218df7e_1280x720.jpg,https://www.nba.com/stats/events?GameEventID=66&GameID=0022500696&Season=2025-2026&flag=1&title=Curry+27%27+3PT+Running+Jump+Shot+%288+PTS%29+%28Podziemski+3+AST%29
0022500696,365,2026-01-30,2026-01-30/DETGSW,2,GSW,DET,Curry 29' 3PT Pullup Jump Shot (13 PTS) (Podziemski 5 AST),61,64,77,77,3,16,13,https://videos.nba.com/nba/pbp/media/2026/01/30/0022500696/365/c316c6f5-90cf-dfd6-5a9a-f4b70e12004b_1280x720.mp4,https://videos.nba.com/nba/pbp/media/2026/01/30/0022500696/365/c316c6f5-90cf-dfd6-5a9a-f4b70e12004b_1280x720.jpg,https://www.nba.com/stats/events?GameEventID=365&GameID=0022500696&Season=2025-2026&flag=1&title=Curry+29%27+3PT+Pullup+Jump+Shot+%2813+PTS%29+%28Podziemski+5+AST%29
0022500696,471,2026-01-30,2026-01-30/DETGSW,3,GSW,DET,Curry 28' 3PT Jump Shot (18 PTS) (Green 4 AST),78,81,90,90,3,12,9,https://videos.nba.com/nba/pbp/media/2026/01/30/0022500696/471/3adc416e-9fa9-676a-93cf-abaf23aca639_1280x720.mp4,https://videos.nba.com/nba/pbp/media/2026/01/30/0022500696/471/3adc416e-9fa9-676a-93cf-abaf23aca639_1280x720.jpg,https://www.nba.com/stats/events?GameEventID=471&GameID=0022500696&Season=2025-2026&flag=1&title=Curry+28%27+3PT+Jump+Shot+%2818+PTS%29+%28Green+4+AST%29
0022500678,612,2026-01-28,2026-01-28/GSWUTA,4,UTA,GSW,Curry 26' 3PT Jump Shot (24 PTS) (Green 6 AST),100,100,108,111,3,8,11,https://videos.nba.com/nba/pbp/media/2026/01/28/0022500678/612/b0be2c14-ee5a-2d83-b0a4-555f45b86712_1280x720.mp4,https://videos.nba.com/nba/pbp/media/2026/01/28/0022500678/612/b0be2c14-ee5a-2d83-b0a4-555f45b86712_1280x720.jpg,https://www.nba.com/stats/events?GameEventID=612&GameID=0022500678&Season=2025-2026&flag=1&title=Curry+26%27+3PT+Jump+Shot+%2824+PTS%29+%28Green+6+AST%29
